date,apino,sql
2023-11-07 12:01:55,jd466,"update ftest set jetelina_delete_flg=1 where jt_id=2"
2023-11-07 12:21:30,js467,"select ftest.name,ftest.age from ftest as ftest where jetelina_delete_flg=0"
2023-11-07 12:21:36,js467,"select ftest.name,ftest.age from ftest as ftest where jetelina_delete_flg=0"
2023-11-07 12:21:47,js468,"select ftest.name,ftest.age from ftest as ftest where ftest.jt_id=1 and jetelina_delete_flg=0"
2023-11-07 12:22:51,ju465,"update ftest set name='AAA3',sex='f',age=30,ave=0.9 where jt_id=1"
2023-11-07 12:23:18,ji464,"insert into ftest (jt_id,name,sex,age,ave,jetelina_delete_flg) values(5,'EEE','m',60,0.5,0)" 
2023-11-07 12:23:27,jd466,"update ftest set jetelina_delete_flg=1 where jt_id=2"
2023-11-08 09:22:17,ju465,"update ftest set name='AAA3',sex='f',age=30,ave=0.9 where jt_id=1"
2023-11-08 09:26:01,ju465,"update ftest set name='AAA3',sex='f',age=30,ave=0.9 where jt_id=1"
2023-11-08 11:50:43,js468,"select ftest.name,ftest.age from ftest as ftest where ftest.jt_id=1 and jetelina_delete_flg=0"
2023-11-10 13:25:00,js467,"select ftest.name,ftest.age from ftest as ftest where jetelina_delete_flg=0"
2023-11-10 13:29:49,js467,"select ftest.name,ftest.age from ftest as ftest where jetelina_delete_flg=0"
2023-11-10 13:31:14,js467,"select ftest.name,ftest.age from ftest as ftest where jetelina_delete_flg=0"
2023-11-10 13:31:19,js468,"select ftest.name,ftest.age from ftest as ftest where ftest.jt_id=1 and jetelina_delete_flg=0"
2023-11-10 13:31:21,ju465,"update ftest set name='AAA3',sex='f',age=30,ave=0.9 where jt_id=1"
2023-11-10 13:31:24,jd466,"update ftest set jetelina_delete_flg=1 where jt_id=2"
2023-11-10 13:31:42,jd466,"update ftest set jetelina_delete_flg=1 where jt_id=10"
2023-11-30 12:54:44,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 13:29:51,js92,"select people1000.userid,people1000.lastname,people1000.email,org1000.name,org1000.country,org1000.founded from people1000 as people1000,org1000 as org1000 where people1000.sex=Male and org1000.numberofemployees>100 and jetelina_delete_flg=0"
2023-11-30 13:35:28,js93,"select people1000.userid,people1000.lastname,people1000.firstname,org1000.name,org1000.country from people1000 as people1000,org1000 as org1000 where people1000.sex='{sex]' and org1000.founded>100 and jetelina_delete_flg=0"
2023-11-30 13:37:26,js93,"select people1000.userid,people1000.lastname,people1000.firstname,org1000.name,org1000.country from people1000 as people1000,org1000 as org1000 where people1000.sex='{sex]' and org1000.founded>100 and jetelina_delete_flg=0"
2023-11-30 13:46:26,js93,""
2023-11-30 13:48:05,js91,"select org1000.jt_id,org1000.name,org1000.website,org1000.industry from org1000 as org1000 where numberofemployees>100 and jetelina_delete_flg=0"
2023-11-30 13:48:24,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 13:55:28,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 13:55:31,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 13:55:47,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 13:56:06,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 13:57:20,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:04:03,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:04:59,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:05:19,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:05:56,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:06:15,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:07:52,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
2023-11-30 14:08:29,js87,"select org1000.jt_id,org1000.name,org1000.country from org1000 as org1000 where jetelina_delete_flg=0"
